,Model_Name,Datflow,Accelerator,Reduction Network,Output_Access_Latency,Output_Access_Energy,Input_Access_Latency,Input_Access_Energy,Weight_Access_Latency,Weight_Access_Energy,Avg_Miss_Ratio
0,GoogLeNet,IS,AMM,S_Tree,10218003.292941118,920153.952,30069452.053460535,2350004.352000002,4467811333.507491,358569548.15999997,0.011121120655910605
1,ResNet50,IS,AMM,S_Tree,37088563.11796957,3174096.5760000013,71790512.33246486,5670226.367999997,11514021671.875486,935371315.5839981,0.01676870079811102
2,ShuffleNet_V2,IS,AMM,S_Tree,43439690.11417093,3703030.5600000005,79335900.18441261,6272175.936000006,12487688320.69197,1017282829.0559958,0.017161427790865734
3,MobileNet_V2,IS,AMM,S_Tree,46054008.40313963,3919304.832000003,87075035.11440475,6877196.736000003,12924638681.23047,1052618162.303996,0.017851541090541396
4,GoogLeNet,WS,AMM,S_Tree,79405008.58245607,920153.952,20955270358.300804,372192315.0720002,43756551.72675168,1396145.7600000005,0.3981055467974629
5,ResNet50,WS,AMM,S_Tree,269222245.6161853,3174096.5760000013,56341102485.99522,978159087.2640004,111870677.12502056,3629270.6880000005,0.35134816087067083
6,ShuffleNet_V2,WS,AMM,S_Tree,304512662.6131243,3703030.5600000005,59932100678.745636,1068660122.2079998,124339301.51554835,4277523.840000007,0.14082940410505182
7,MobileNet_V2,WS,AMM,S_Tree,316889007.45996565,3919304.832000003,61241384791.505264,1107274049.5680006,134472182.70833015,5010009.696000003,0.11638025075973146
8,GoogLeNet,OS,AMM,S_Tree,23620590.595907856,920153.952,14714147350.538172,372192315.0720002,14714147350.538172,372192315.0720002,0.04543641082761551
9,ResNet50,OS,AMM,S_Tree,115736205.26566072,3174096.5760000013,31930139020.24814,978159087.2640004,31930139020.24814,978159087.2640004,0.11499260761726353
10,ShuffleNet_V2,OS,AMM,S_Tree,125713699.42420301,3703030.5600000005,33353270478.212196,1068660122.2079998,33353270478.212196,1068660122.2079998,0.031214734468281758
11,MobileNet_V2,OS,AMM,S_Tree,132636316.41224343,3919304.832000003,34353791237.175213,1107274049.5680006,34353791237.175213,1107274049.5680006,0.07598540172349812
12,GoogLeNet,IS,AMM,ST_Tree_Ac,10218003.292941118,920153.952,30069452.053460535,2350004.352000002,4467811333.507491,358569548.15999997,0.011121120655910605
13,ResNet50,IS,AMM,ST_Tree_Ac,37088563.11796957,3174096.5760000013,71790512.33246486,5670226.367999997,11514021671.875486,935371315.5839981,0.01676870079811102
14,ShuffleNet_V2,IS,AMM,ST_Tree_Ac,43439690.11417093,3703030.5600000005,79335900.18441261,6272175.936000006,12487688320.69197,1017282829.0559958,0.017161427790865734
15,MobileNet_V2,IS,AMM,ST_Tree_Ac,46054008.40313963,3919304.832000003,87075035.11440475,6877196.736000003,12924638681.23047,1052618162.303996,0.017851541090541396
16,GoogLeNet,WS,AMM,ST_Tree_Ac,79405008.58245607,920153.952,20955270358.300804,372192315.0720002,43756551.72675168,1396145.7600000005,0.3981055467974629
17,ResNet50,WS,AMM,ST_Tree_Ac,269222245.6161853,3174096.5760000013,56341102485.99522,978159087.2640004,111870677.12502056,3629270.6880000005,0.35134816087067083
18,ShuffleNet_V2,WS,AMM,ST_Tree_Ac,304512662.6131243,3703030.5600000005,59932100678.745636,1068660122.2079998,124339301.51554835,4277523.840000007,0.14082940410505182
19,MobileNet_V2,WS,AMM,ST_Tree_Ac,316889007.45996565,3919304.832000003,61241384791.505264,1107274049.5680006,134472182.70833015,5010009.696000003,0.11638025075973146
20,GoogLeNet,OS,AMM,ST_Tree_Ac,23620590.595907856,920153.952,14714147350.538172,372192315.0720002,14714147350.538172,372192315.0720002,0.04543641082761551
21,ResNet50,OS,AMM,ST_Tree_Ac,115736205.26566072,3174096.5760000013,31930139020.24814,978159087.2640004,31930139020.24814,978159087.2640004,0.11499260761726353
22,ShuffleNet_V2,OS,AMM,ST_Tree_Ac,125713699.42420301,3703030.5600000005,33353270478.212196,1068660122.2079998,33353270478.212196,1068660122.2079998,0.031214734468281758
23,MobileNet_V2,OS,AMM,ST_Tree_Ac,132636316.41224343,3919304.832000003,34353791237.175213,1107274049.5680006,34353791237.175213,1107274049.5680006,0.07598540172349812
24,GoogLeNet,IS,AMM,STIFT,10218003.292941118,920153.952,30069452.053460535,2350004.352000002,4467811333.507491,358569548.15999997,0.011121120655910605
25,ResNet50,IS,AMM,STIFT,37088563.11796957,3174096.5760000013,71790512.33246486,5670226.367999997,11514021671.875486,935371315.5839981,0.01676870079811102
26,ShuffleNet_V2,IS,AMM,STIFT,43439690.11417093,3703030.5600000005,79335900.18441261,6272175.936000006,12487688320.69197,1017282829.0559958,0.017161427790865734
27,MobileNet_V2,IS,AMM,STIFT,46054008.40313963,3919304.832000003,87075035.11440475,6877196.736000003,12924638681.23047,1052618162.303996,0.017851541090541396
28,GoogLeNet,WS,AMM,STIFT,79405008.58245607,920153.952,20955270358.300804,372192315.0720002,43756551.72675168,1396145.7600000005,0.3981055467974629
29,ResNet50,WS,AMM,STIFT,269222245.6161853,3174096.5760000013,56341102485.99522,978159087.2640004,111870677.12502056,3629270.6880000005,0.35134816087067083
30,ShuffleNet_V2,WS,AMM,STIFT,304512662.6131243,3703030.5600000005,59932100678.745636,1068660122.2079998,124339301.51554835,4277523.840000007,0.14082940410505182
31,MobileNet_V2,WS,AMM,STIFT,316889007.45996565,3919304.832000003,61241384791.505264,1107274049.5680006,134472182.70833015,5010009.696000003,0.11638025075973146
32,GoogLeNet,OS,AMM,STIFT,23620590.595907856,920153.952,14714147350.538172,372192315.0720002,14714147350.538172,372192315.0720002,0.04543641082761551
33,ResNet50,OS,AMM,STIFT,115736205.26566072,3174096.5760000013,31930139020.24814,978159087.2640004,31930139020.24814,978159087.2640004,0.11499260761726353
34,ShuffleNet_V2,OS,AMM,STIFT,125713699.42420301,3703030.5600000005,33353270478.212196,1068660122.2079998,33353270478.212196,1068660122.2079998,0.031214734468281758
35,MobileNet_V2,OS,AMM,STIFT,132636316.41224343,3919304.832000003,34353791237.175213,1107274049.5680006,34353791237.175213,1107274049.5680006,0.07598540172349812
36,GoogLeNet,IS,AMM,PCA,10218003.292941118,920153.952,30069452.053460535,2350004.352000002,4467811333.507491,358569548.15999997,0.011121120655910605
37,ResNet50,IS,AMM,PCA,37088563.11796957,3174096.5760000013,71790512.33246486,5670226.367999997,11514021671.875486,935371315.5839981,0.01676870079811102
38,ShuffleNet_V2,IS,AMM,PCA,43439690.11417093,3703030.5600000005,79335900.18441261,6272175.936000006,12487688320.69197,1017282829.0559958,0.017161427790865734
39,MobileNet_V2,IS,AMM,PCA,46054008.40313963,3919304.832000003,87075035.11440475,6877196.736000003,12924638681.23047,1052618162.303996,0.017851541090541396
40,GoogLeNet,WS,AMM,PCA,79405008.58245607,920153.952,20955270358.300804,372192315.0720002,43756551.72675168,1396145.7600000005,0.3981055467974629
41,ResNet50,WS,AMM,PCA,269222245.6161853,3174096.5760000013,56341102485.99522,978159087.2640004,111870677.12502056,3629270.6880000005,0.35134816087067083
42,ShuffleNet_V2,WS,AMM,PCA,304512662.6131243,3703030.5600000005,59932100678.745636,1068660122.2079998,124339301.51554835,4277523.840000007,0.14082940410505182
43,MobileNet_V2,WS,AMM,PCA,316889007.45996565,3919304.832000003,61241384791.505264,1107274049.5680006,134472182.70833015,5010009.696000003,0.11638025075973146
44,GoogLeNet,OS,AMM,PCA,23620590.595907856,920153.952,14714147350.538172,372192315.0720002,14714147350.538172,372192315.0720002,0.04543641082761551
45,ResNet50,OS,AMM,PCA,115736205.26566072,3174096.5760000013,31930139020.24814,978159087.2640004,31930139020.24814,978159087.2640004,0.11499260761726353
46,ShuffleNet_V2,OS,AMM,PCA,125713699.42420301,3703030.5600000005,33353270478.212196,1068660122.2079998,33353270478.212196,1068660122.2079998,0.031214734468281758
47,MobileNet_V2,OS,AMM,PCA,132636316.41224343,3919304.832000003,34353791237.175213,1107274049.5680006,34353791237.175213,1107274049.5680006,0.07598540172349812
48,GoogLeNet,IS,MAM,S_Tree,10218003.292941118,920153.952,30747950.097985465,2413855.487999997,4467811333.507491,358569548.1599999,0.011121120655910605
49,ResNet50,IS,MAM,S_Tree,37088563.11796957,3174096.5760000013,73310239.37167235,5805617.663999991,11514021671.875486,935371315.5839981,0.01676870079811102
50,ShuffleNet_V2,IS,MAM,S_Tree,43439690.11417093,3703030.5600000005,81048173.8725329,6423529.727999993,12487688320.69197,1017282829.0559958,0.017161427790865734
51,MobileNet_V2,IS,MAM,S_Tree,46054008.40313963,3919304.832000003,88955931.28829348,7042692.095999989,12924638681.23047,1052618162.303996,0.017851541090541396
52,GoogLeNet,WS,MAM,S_Tree,79405008.58245607,920153.952,22042451600.484562,384903454.84799975,45358461.3809307,1416019.968000001,0.3981055467974629
53,ResNet50,WS,MAM,S_Tree,269222245.6161853,3174096.5760000013,60128011291.74337,1021490384.6399988,115585569.45863618,3672446.9760000026,0.35134816087067083
54,ShuffleNet_V2,WS,MAM,S_Tree,304512662.6131243,3703030.5600000005,64465574601.03996,1120424714.1119998,129429574.03859992,4335598.080000002,0.14082940410505182
55,MobileNet_V2,WS,MAM,S_Tree,316889007.45996565,3919304.832000003,66043336708.38522,1163291999.2319982,140145291.26999894,5082654.719999999,0.11638025075973146
56,GoogLeNet,OS,MAM,S_Tree,23620590.595907856,920153.952,15031464548.90182,384903454.84799975,15031464548.90182,384903454.84799975,0.04543641082761551
57,ResNet50,OS,MAM,S_Tree,115736205.26566072,3174096.5760000013,33468926036.23866,1021490384.6399988,33468926036.23866,1021490384.6399988,0.11499260761726353
58,ShuffleNet_V2,OS,MAM,S_Tree,125713699.42420301,3703030.5600000005,35085575214.87642,1120424714.1119998,35085575214.87642,1120424714.1119998,0.031214734468281758
59,MobileNet_V2,OS,MAM,S_Tree,132636316.41224343,3919304.832000003,36225221847.79779,1163291999.2319982,36225221847.79779,1163291999.2319982,0.07598540172349812
60,GoogLeNet,IS,MAM,ST_Tree_Ac,10218003.292941118,920153.952,30747950.097985465,2413855.487999997,4467811333.507491,358569548.1599999,0.011121120655910605
61,ResNet50,IS,MAM,ST_Tree_Ac,37088563.11796957,3174096.5760000013,73310239.37167235,5805617.663999991,11514021671.875486,935371315.5839981,0.01676870079811102
62,ShuffleNet_V2,IS,MAM,ST_Tree_Ac,43439690.11417093,3703030.5600000005,81048173.8725329,6423529.727999993,12487688320.69197,1017282829.0559958,0.017161427790865734
63,MobileNet_V2,IS,MAM,ST_Tree_Ac,46054008.40313963,3919304.832000003,88955931.28829348,7042692.095999989,12924638681.23047,1052618162.303996,0.017851541090541396
64,GoogLeNet,WS,MAM,ST_Tree_Ac,79405008.58245607,920153.952,22042451600.484562,384903454.84799975,45358461.3809307,1416019.968000001,0.3981055467974629
65,ResNet50,WS,MAM,ST_Tree_Ac,269222245.6161853,3174096.5760000013,60128011291.74337,1021490384.6399988,115585569.45863618,3672446.9760000026,0.35134816087067083
66,ShuffleNet_V2,WS,MAM,ST_Tree_Ac,304512662.6131243,3703030.5600000005,64465574601.03996,1120424714.1119998,129429574.03859992,4335598.080000002,0.14082940410505182
67,MobileNet_V2,WS,MAM,ST_Tree_Ac,316889007.45996565,3919304.832000003,66043336708.38522,1163291999.2319982,140145291.26999894,5082654.719999999,0.11638025075973146
68,GoogLeNet,OS,MAM,ST_Tree_Ac,23620590.595907856,920153.952,15031464548.90182,384903454.84799975,15031464548.90182,384903454.84799975,0.04543641082761551
69,ResNet50,OS,MAM,ST_Tree_Ac,115736205.26566072,3174096.5760000013,33468926036.23866,1021490384.6399988,33468926036.23866,1021490384.6399988,0.11499260761726353
70,ShuffleNet_V2,OS,MAM,ST_Tree_Ac,125713699.42420301,3703030.5600000005,35085575214.87642,1120424714.1119998,35085575214.87642,1120424714.1119998,0.031214734468281758
71,MobileNet_V2,OS,MAM,ST_Tree_Ac,132636316.41224343,3919304.832000003,36225221847.79779,1163291999.2319982,36225221847.79779,1163291999.2319982,0.07598540172349812
72,GoogLeNet,IS,MAM,STIFT,10218003.292941118,920153.952,30747950.097985465,2413855.487999997,4467811333.507491,358569548.1599999,0.011121120655910605
73,ResNet50,IS,MAM,STIFT,37088563.11796957,3174096.5760000013,73310239.37167235,5805617.663999991,11514021671.875486,935371315.5839981,0.01676870079811102
74,ShuffleNet_V2,IS,MAM,STIFT,43439690.11417093,3703030.5600000005,81048173.8725329,6423529.727999993,12487688320.69197,1017282829.0559958,0.017161427790865734
75,MobileNet_V2,IS,MAM,STIFT,46054008.40313963,3919304.832000003,88955931.28829348,7042692.095999989,12924638681.23047,1052618162.303996,0.017851541090541396
76,GoogLeNet,WS,MAM,STIFT,79405008.58245607,920153.952,22042451600.484562,384903454.84799975,45358461.3809307,1416019.968000001,0.3981055467974629
77,ResNet50,WS,MAM,STIFT,269222245.6161853,3174096.5760000013,60128011291.74337,1021490384.6399988,115585569.45863618,3672446.9760000026,0.35134816087067083
78,ShuffleNet_V2,WS,MAM,STIFT,304512662.6131243,3703030.5600000005,64465574601.03996,1120424714.1119998,129429574.03859992,4335598.080000002,0.14082940410505182
79,MobileNet_V2,WS,MAM,STIFT,316889007.45996565,3919304.832000003,66043336708.38522,1163291999.2319982,140145291.26999894,5082654.719999999,0.11638025075973146
80,GoogLeNet,OS,MAM,STIFT,23620590.595907856,920153.952,15031464548.90182,384903454.84799975,15031464548.90182,384903454.84799975,0.04543641082761551
81,ResNet50,OS,MAM,STIFT,115736205.26566072,3174096.5760000013,33468926036.23866,1021490384.6399988,33468926036.23866,1021490384.6399988,0.11499260761726353
82,ShuffleNet_V2,OS,MAM,STIFT,125713699.42420301,3703030.5600000005,35085575214.87642,1120424714.1119998,35085575214.87642,1120424714.1119998,0.031214734468281758
83,MobileNet_V2,OS,MAM,STIFT,132636316.41224343,3919304.832000003,36225221847.79779,1163291999.2319982,36225221847.79779,1163291999.2319982,0.07598540172349812
84,GoogLeNet,IS,MAM,PCA,10218003.292941118,920153.952,30747950.097985465,2413855.487999997,4467811333.507491,358569548.1599999,0.011121120655910605
85,ResNet50,IS,MAM,PCA,37088563.11796957,3174096.5760000013,73310239.37167235,5805617.663999991,11514021671.875486,935371315.5839981,0.01676870079811102
86,ShuffleNet_V2,IS,MAM,PCA,43439690.11417093,3703030.5600000005,81048173.8725329,6423529.727999993,12487688320.69197,1017282829.0559958,0.017161427790865734
87,MobileNet_V2,IS,MAM,PCA,46054008.40313963,3919304.832000003,88955931.28829348,7042692.095999989,12924638681.23047,1052618162.303996,0.017851541090541396
88,GoogLeNet,WS,MAM,PCA,79405008.58245607,920153.952,22042451600.484562,384903454.84799975,45358461.3809307,1416019.968000001,0.3981055467974629
89,ResNet50,WS,MAM,PCA,269222245.6161853,3174096.5760000013,60128011291.74337,1021490384.6399988,115585569.45863618,3672446.9760000026,0.35134816087067083
90,ShuffleNet_V2,WS,MAM,PCA,304512662.6131243,3703030.5600000005,64465574601.03996,1120424714.1119998,129429574.03859992,4335598.080000002,0.14082940410505182
91,MobileNet_V2,WS,MAM,PCA,316889007.45996565,3919304.832000003,66043336708.38522,1163291999.2319982,140145291.26999894,5082654.719999999,0.11638025075973146
92,GoogLeNet,OS,MAM,PCA,23620590.595907856,920153.952,15031464548.90182,384903454.84799975,15031464548.90182,384903454.84799975,0.04543641082761551
93,ResNet50,OS,MAM,PCA,115736205.26566072,3174096.5760000013,33468926036.23866,1021490384.6399988,33468926036.23866,1021490384.6399988,0.11499260761726353
94,ShuffleNet_V2,OS,MAM,PCA,125713699.42420301,3703030.5600000005,35085575214.87642,1120424714.1119998,35085575214.87642,1120424714.1119998,0.031214734468281758
95,MobileNet_V2,OS,MAM,PCA,132636316.41224343,3919304.832000003,36225221847.79779,1163291999.2319982,36225221847.79779,1163291999.2319982,0.07598540172349812
