C,D,K,dataflow,compulsory_miss,l1_misses,l2_misses,l1_miss_ratio,l2_miss_ratio
16,96,12544,IS,87904,2320640,0,0.030110677,0
16,96,12544,OS,87904,944036352,0,0.06225679,0
16,96,12544,WS,87904,1191680,0,0.01546224,0
16,16,12544,IS,87904,2320640,0,0.030110677,0
16,16,12544,OS,87904,944036352,0,0.06225679,0
16,16,12544,WS,87904,1191680,0,0.01546224,0
16,16,12544,RIS,87904,2320640,0,0.030110677,0
16,16,12544,ROS,87904,944036352,0,0.06225679,0
16,16,12544,RWS,87904,1191680,0,0.01546224,0
16,96,12544,RIS,87904,2320640,0,0.030110677,0
16,96,12544,ROS,87904,944036352,0,0.06225679,0
16,96,12544,RWS,87904,1191680,0,0.01546224,0
24,116,3136,IS,27632,522928,0,0.014973958,0
24,144,3136,IS,33144,649152,0,0.014973958,0
24,116,784,IS,7052,130732,0,0.014973958,0
24,24,3136,IS,9456,108192,0,0.014973958,0
24,116,3136,OS,27632,71277360,0,0.061077774,0
24,144,3136,OS,33144,88482240,0,0.061077774,0
24,116,784,OS,7052,4450572,0,0.057169977,0
24,24,3136,OS,9456,14747040,0,0.061077774,0
24,116,3136,WS,27632,540960,0,0.015490302,0
24,144,3136,WS,33144,672672,0,0.015516493,0
24,116,784,WS,7052,135240,0,0.015490302,0
24,24,3136,WS,9456,108192,0,0.014973958,0
24,116,3136,RIS,27632,522928,0,0.014973958,0
24,144,3136,RIS,33144,649152,0,0.014973958,0
24,116,784,RIS,7052,130732,0,0.014973958,0
24,24,3136,RIS,9456,108192,0,0.014973958,0
24,116,3136,ROS,27632,71277360,0,0.061077774,0
24,144,3136,ROS,33144,88482240,0,0.061077774,0
24,116,784,ROS,7052,4450572,0,0.057169977,0
24,24,3136,ROS,9456,14747040,0,0.061077774,0
24,116,3136,RWS,27632,540960,0,0.015490302,0
24,144,3136,RWS,33144,672672,0,0.015516493,0
24,116,784,RWS,7052,135240,0,0.015490302,0
24,24,3136,RWS,9456,108192,0,0.014973958,0
27,24,49284,IS,157185,3835845,0,0.030027564,0
27,32,49284,IS,181833,5142189,0,0.030190364,0
27,32,88209,IS,325380,9202866,0,0.030188148,0
27,64,49284,IS,280479,10367565,0,0.030434564,0
27,27,49284,IS,166428,4325724,0,0.03009992,0
27,24,49284,OS,157185,3644182152,0,0.062411374,0
27,32,49284,OS,181833,4858909536,0,0.062411374,0
27,32,88209,OS,325380,15564125184,0,0.062452571,0
27,64,49284,OS,280479,9717819072,0,0.062411374,0
27,27,49284,OS,166428,4099704921,0,0.062411374,0
27,24,49284,WS,157185,1913301,0,0.014977604,0
27,32,49284,WS,181833,2578797,0,0.015140404,0
27,32,88209,WS,325380,4615218,0,0.015139293,0
27,64,49284,WS,280479,5240781,0,0.015384604,0
27,27,49284,WS,166428,2162862,0,0.01504996,0
27,24,49284,RIS,157185,3835845,0,0.030027564,0
27,32,49284,RIS,181833,5142189,0,0.030190364,0
27,32,88209,RIS,325380,9202866,0,0.030188148,0
27,64,49284,RIS,280479,10367565,0,0.030434564,0
27,27,49284,RIS,166428,4325724,0,0.03009992,0
27,24,49284,ROS,157185,3644182152,0,0.062411374,0
27,32,49284,ROS,181833,4858909536,0,0.062411374,0
27,32,88209,ROS,325380,15564125184,0,0.062452571,0
27,64,49284,ROS,280479,9717819072,0,0.062411374,0
27,27,49284,ROS,166428,4099704921,0,0.062411374,0
27,24,49284,RWS,157185,1913301,0,0.014977604,0
27,32,49284,RWS,181833,2578797,0,0.015140404,0
27,32,88209,RWS,325380,4615218,0,0.015139293,0
27,64,49284,RWS,280479,5240781,0,0.015384604,0
27,27,49284,RWS,166428,2162862,0,0.01504996,0
32,192,784,IS,11360,291648,0,0.015136719,0
32,16,12544,IS,37664,765184,0,0.029785156,0
32,32,784,IS,3200,48608,0,0.015136719,0
32,192,784,OS,11360,7366464,0,0.055610795,0
32,16,12544,OS,37664,157339392,0,0.062020372,0
32,32,784,OS,3200,1227744,0,0.055610795,0
32,192,784,WS,11360,299488,0,0.01554362,0
32,16,12544,WS,37664,376320,0,0.014648438,0
32,32,784,WS,3200,48608,0,0.015136719,0
32,192,784,RIS,11360,291648,0,0.015136719,0
32,16,12544,RIS,37664,765184,0,0.029785156,0
32,32,784,RIS,3200,48608,0,0.015136719,0
32,192,784,ROS,11360,7366464,0,0.055610795,0
32,16,12544,ROS,37664,157339392,0,0.062020372,0
32,32,784,ROS,3200,1227744,0,0.055610795,0
32,192,784,RWS,11360,299488,0,0.01554362,0
32,16,12544,RWS,37664,376320,0,0.014648438,0
32,32,784,RWS,3200,48608,0,0.015136719,0
64,128,3136,IS,38144,1580544,0,0.015380859,0
64,64,2916,IS,23680,737856,0,0.015444155,0
64,80,5329,IS,48416,3372064,0,0.030897272,0
64,384,196,IS,7360,314496,0,0.016322545,0
64,64,196,IS,1920,52416,0,0.016322545,0
64,64,3136,IS,25344,790272,0,0.015380859,0
64,256,3136,IS,63744,3161088,0,0.015380859,0
64,64,64,IS,25344,790272,0,0.015380859,0
64,128,3136,OS,38144,78650880,0,0.058875451,0
64,64,2916,OS,23680,34140480,0,0.058860117,0
64,80,5329,OS,48416,142364160,0,0.060484935,0
64,384,196,OS,7360,973440,0,0.03333421,0
64,64,196,OS,1920,162240,0,0.03333421,0
64,64,3136,OS,25344,39325440,0,0.058875451,0
64,256,3136,OS,63744,157301760,0,0.058875451,0
64,64,64,OS,25344,39325440,0,0.058875451,0
64,128,3136,WS,38144,1593088,0,0.01550293,0
64,64,2916,WS,23680,737856,0,0.015444155,0
64,80,5329,WS,48416,1688704,0,0.015473119,0
64,384,196,WS,7360,318656,0,0.016538451,0
64,64,196,WS,1920,52416,0,0.016322545,0
64,64,3136,WS,25344,790272,0,0.015380859,0
64,256,3136,WS,63744,3198720,0,0.015563965,0
64,64,64,WS,25344,790272,0,0.015380859,0
64,128,3136,RIS,38144,1580544,0,0.015380859,0
64,64,2916,RIS,23680,737856,0,0.015444155,0
64,80,5329,RIS,48416,3372064,0,0.030897272,0
64,384,196,RIS,7360,314496,0,0.016322545,0
64,64,196,RIS,1920,52416,0,0.016322545,0
64,64,3136,RIS,25344,790272,0,0.015380859,0
64,256,3136,RIS,63744,3161088,0,0.015380859,0
64,64,64,RIS,25344,790272,0,0.015380859,0
64,128,3136,ROS,38144,78650880,0,0.058875451,0
64,64,2916,ROS,23680,34140480,0,0.058860117,0
64,80,5329,ROS,48416,142364160,0,0.060484935,0
64,384,196,ROS,7360,973440,0,0.03333421,0
64,64,196,ROS,1920,162240,0,0.03333421,0
64,64,3136,ROS,25344,39325440,0,0.058875451,0
64,256,3136,ROS,63744,157301760,0,0.058875451,0
64,64,64,ROS,25344,39325440,0,0.058875451,0
64,128,3136,RWS,38144,1593088,0,0.01550293,0
64,64,2916,RWS,23680,737856,0,0.015444155,0
64,80,5329,RWS,48416,1688704,0,0.015473119,0
64,384,196,RWS,7360,318656,0,0.016538451,0
64,64,196,RWS,1920,52416,0,0.016322545,0
64,64,3136,RWS,25344,790272,0,0.015380859,0
64,256,3136,RWS,63744,3198720,0,0.015563965,0
64,64,64,RWS,25344,790272,0,0.015380859,0
96,96,196,IS,3072,118560,0,0.016408907,0
96,576,196,IS,12192,711360,0,0.016408907,0
96,128,3136,IS,44672,2383360,0,0.01546224,0
96,24,3136,IS,23712,446880,0,0.01546224,0
96,96,196,OS,3072,243360,0,0.026722466,0
96,576,196,OS,12192,22794048,0,0.417155085,0
96,128,3136,OS,44672,78650880,0,0.057224737,0
96,24,3136,OS,23712,14747040,0,0.057224737,0
96,96,196,WS,3072,118560,0,0.016408907,0
96,576,196,WS,12192,717600,0,0.016552845,0
96,128,3136,WS,44672,2389632,0,0.01550293,0
96,24,3136,WS,23712,432768,0,0.014973958,0
96,96,196,RIS,3072,118560,0,0.016408907,0
96,576,196,RIS,12192,711360,0,0.016408907,0
96,128,3136,RIS,44672,2383360,0,0.01546224,0
96,24,3136,RIS,23712,446880,0,0.01546224,0
96,96,196,ROS,3072,243360,0,0.026722466,0
96,576,196,ROS,12192,22794048,0,0.417155085,0
96,128,3136,ROS,44672,78650880,0,0.057224737,0
96,24,3136,ROS,23712,14747040,0,0.057224737,0
96,96,196,RWS,3072,118560,0,0.016408907,0
96,576,196,RWS,12192,717600,0,0.016552845,0
96,128,3136,RWS,44672,2389632,0,0.01550293,0
96,24,3136,RWS,23712,432768,0,0.014973958,0
100,100,100,IS,25104,376320,0,0.029296875,0
100,100,100,OS,25104,157339392,0,0.06225679,0
100,100,100,WS,25104,188160,0,0.014648438,0
100,100,100,ROS,25104,157339392,0,0.06225679,0
100,100,100,RWS,25104,188160,0,0.014648438,0
100,100,100,RIS,25104,376320,0,0.029296875,0
100,100,100,RIS,25104,376320,0,0.029296875,0
100,100,100,ROS,25104,157339392,0,0.06225679,0
100,100,100,RWS,25104,188160,0,0.014648438,0
100,100,100,RROS,25104,157339392,0,0.06225679,0
100,100,100,RRWS,25104,188160,0,0.014648438,0
100,100,100,RRIS,25104,376320,0,0.029296875,0
116,116,784,IS,12296,653660,0,0.015490302,0
116,116,784,OS,12296,4450572,0,0.043231007,0
116,116,784,WS,12296,653660,0,0.015490302,0
116,116,784,RIS,12296,653660,0,0.015490302,0
116,116,784,ROS,12296,4450572,0,0.043231007,0
116,116,784,RWS,12296,653660,0,0.015490302,0
128,128,3136,IS,51200,3186176,0,0.01550293,0
128,128,784,IS,13568,796544,0,0.01550293,0
128,512,784,IS,35456,3186176,0,0.01550293,0
128,128,3136,OS,51200,78650880,0,0.055664063,0
128,128,784,OS,13568,4910976,0,0.041898545,0
128,512,784,OS,35456,71020032,0,0.151478849,0
128,128,3136,WS,51200,3186176,0,0.01550293,0
128,128,784,WS,13568,796544,0,0.01550293,0
128,512,784,WS,35456,3204992,0,0.015594482,0
128,128,3136,RIS,51200,3186176,0,0.01550293,0
128,128,784,RIS,13568,796544,0,0.01550293,0
128,512,784,RIS,35456,3186176,0,0.01550293,0
128,128,3136,ROS,51200,78650880,0,0.055664063,0
128,128,784,ROS,13568,4910976,0,0.041898545,0
128,512,784,ROS,35456,71020032,0,0.151478849,0
128,128,3136,RWS,51200,3186176,0,0.01550293,0
128,128,784,RWS,13568,796544,0,0.01550293,0
128,512,784,RWS,35456,3204992,0,0.015594482,0
144,32,784,IS,8912,224224,0,0.015516493,0
144,24,3136,IS,33216,672672,0,0.015516493,0
144,32,784,OS,8912,1227744,0,0.040244655,0
144,24,3136,OS,33216,14747040,0,0.054915219,0
144,32,784,WS,8912,218736,0,0.015136719,0
144,24,3136,WS,33216,649152,0,0.014973958,0
144,32,784,RIS,8912,224224,0,0.015516493,0
144,24,3136,RIS,33216,672672,0,0.015516493,0
144,32,784,ROS,8912,1227744,0,0.040244655,0
144,24,3136,ROS,33216,14747040,0,0.054915219,0
144,32,784,RWS,8912,218736,0,0.015136719,0
144,24,3136,RWS,33216,649152,0,0.014973958,0
147,64,47524,IS,627469,55275455,0,0.030907369,0
147,147,50176,IS,923454,134609664,0,0.031037415,0
147,147,47524,IS,874944,127527204,0,0.031045252,0
147,64,50176,IS,662284,58345280,0,0.030899567,0
147,64,47524,OS,627469,9036213312,0,0.061939695,0
147,147,50176,OS,923454,23130273600,0,0.061954235,0
147,147,47524,OS,874944,20755052451,0,0.061939695,0
147,64,50176,OS,662284,10070323200,0,0.061954235,0
147,64,47524,WS,627469,27514431,0,0.015384743,0
147,147,50176,WS,923454,67304832,0,0.015518707,0
147,147,47524,WS,874944,63763602,0,0.015522626,0
147,64,50176,WS,662284,29042496,0,0.015380859,0
147,64,47524,RIS,627469,55275455,0,0.030907369,0
147,147,50176,RIS,923454,134609664,0,0.031037415,0
147,147,47524,RIS,874944,127527204,0,0.031045252,0
147,64,50176,RIS,662284,58345280,0,0.030899567,0
147,64,47524,ROS,627469,9036213312,0,0.061939695,0
147,147,50176,ROS,923454,23130273600,0,0.061954235,0
147,147,47524,ROS,874944,20755052451,0,0.061939695,0
147,64,50176,ROS,662284,10070323200,0,0.061954235,0
147,64,47524,RWS,627469,27514431,0,0.015384743,0
147,147,50176,RWS,923454,67304832,0,0.015518707,0
147,147,47524,RWS,874944,63763602,0,0.015522626,0
147,64,50176,RWS,662284,29042496,0,0.015380859,0
160,128,784,IS,15392,997248,0,0.015527344,0
160,128,3136,IS,57728,3988992,0,0.015527344,0
160,960,49,IS,14080,610560,0,0.020280612,0
160,160,49,IS,2880,101760,0,0.020280612,0
160,128,784,OS,15392,4910976,0,0.038716377,0
160,128,3136,OS,57728,78650880,0,0.054186256,0
160,960,49,OS,6976,2442240,0,0.264889629,0
160,160,49,OS,1326,30720,0,0.01999167,0
160,128,784,WS,15392,995680,0,0.01550293,0
160,128,3136,WS,57728,3982720,0,0.01550293,0
160,960,49,WS,14080,613760,0,0.020386905,0
160,160,49,WS,2880,101760,0,0.020280612,0
160,128,784,RIS,15392,997248,0,0.015527344,0
160,128,3136,RIS,57728,3988992,0,0.015527344,0
160,960,49,RIS,14080,610560,0,0.020280612,0
160,160,49,RIS,2880,101760,0,0.020280612,0
160,128,784,ROS,15392,4910976,0,0.038716377,0
160,128,3136,ROS,57728,78650880,0,0.054186256,0
160,960,49,ROS,6976,2442240,0,0.264889629,0
160,160,49,ROS,1326,30720,0,0.01999167,0
160,128,784,RWS,15392,995680,0,0.01550293,0
160,128,3136,RWS,57728,3982720,0,0.01550293,0
160,960,49,RWS,14080,613760,0,0.020386905,0
160,160,49,RWS,2880,101760,0,0.020280612,0
192,64,676,IS,11776,525632,0,0.015819542,0
192,64,1225,IS,20480,941248,0,0.01563244,0
192,48,1225,IS,19056,705936,0,0.01563244,0
192,32,784,IS,11360,299488,0,0.01554362,0
192,32,676,IS,10016,262816,0,0.015819542,0
192,32,1225,IS,17632,470624,0,0.01563244,0
192,128,784,IS,17216,1197952,0,0.01554362,0
192,96,676,IS,13536,788448,0,0.015819542,0
192,128,3136,IS,64256,4791808,0,0.01554362,0
192,64,196,IS,4096,158912,0,0.01649527,0
192,192,676,IS,18816,1576896,0,0.015819542,0
192,16,676,IS,9136,131408,0,0.015819542,0
192,64,676,OS,11776,1857600,0,0.034294242,0
192,64,1225,OS,20480,6031872,0,0.042719124,0
192,48,1225,OS,19056,4523904,0,0.042719124,0
192,32,784,OS,11360,1227744,0,0.035983456,0
192,32,676,OS,10016,928800,0,0.034294242,0
192,32,1225,OS,17632,3015936,0,0.042719124,0
192,128,784,OS,17216,4910976,0,0.035983456,0
192,96,676,OS,13536,2786400,0,0.034294242,0
192,128,3136,OS,64256,78650880,0,0.052784887,0
192,64,196,OS,4096,162240,0,0.016753463,0
192,192,676,OS,18816,5572800,0,0.034294242,0
192,16,676,OS,9136,464400,0,0.034294242,0
192,64,676,WS,11776,520128,0,0.015653892,0
192,64,1225,WS,20480,931392,0,0.01546875,0
192,48,1225,WS,19056,694848,0,0.015386905,0
192,32,784,WS,11360,291648,0,0.015136719,0
192,32,676,WS,10016,255936,0,0.015405418,0
192,32,1225,WS,17632,458304,0,0.015223214,0
192,128,784,WS,17216,1194816,0,0.01550293,0
192,96,676,WS,13536,784320,0,0.015736717,0
192,128,3136,WS,64256,4779264,0,0.01550293,0
192,64,196,WS,4096,157248,0,0.016322545,0
192,192,676,WS,18816,1576896,0,0.015819542,0
192,16,676,WS,9136,123840,0,0.014908469,0
192,64,676,RIS,11776,525632,0,0.015819542,0
192,64,1225,RIS,20480,941248,0,0.01563244,0
192,48,1225,RIS,19056,705936,0,0.01563244,0
192,32,784,RIS,11360,299488,0,0.01554362,0
192,32,676,RIS,10016,262816,0,0.015819542,0
192,32,1225,RIS,17632,470624,0,0.01563244,0
192,128,784,RIS,17216,1197952,0,0.01554362,0
192,96,676,RIS,13536,788448,0,0.015819542,0
192,128,3136,RIS,64256,4791808,0,0.01554362,0
192,64,196,RIS,4096,158912,0,0.01649527,0
192,192,676,RIS,18816,1576896,0,0.015819542,0
192,16,676,RIS,9136,131408,0,0.015819542,0
192,64,676,ROS,11776,1857600,0,0.034294242,0
192,64,1225,ROS,20480,6031872,0,0.042719124,0
192,48,1225,ROS,19056,4523904,0,0.042719124,0
192,32,784,ROS,11360,1227744,0,0.035983456,0
192,32,676,ROS,10016,928800,0,0.034294242,0
192,32,1225,ROS,17632,3015936,0,0.042719124,0
192,128,784,ROS,17216,4910976,0,0.035983456,0
192,96,676,ROS,13536,2786400,0,0.034294242,0
192,128,3136,ROS,64256,78650880,0,0.052784887,0
192,64,196,ROS,4096,162240,0,0.016753463,0
192,192,676,ROS,18816,5572800,0,0.034294242,0
192,16,676,ROS,9136,464400,0,0.034294242,0
192,64,676,RWS,11776,520128,0,0.015653892,0
192,64,1225,RWS,20480,931392,0,0.01546875,0
192,48,1225,RWS,19056,694848,0,0.015386905,0
192,32,784,RWS,11360,291648,0,0.015136719,0
192,32,676,RWS,10016,255936,0,0.015405418,0
192,32,1225,RWS,17632,458304,0,0.015223214,0
192,128,784,RWS,17216,1194816,0,0.01550293,0
192,96,676,RWS,13536,784320,0,0.015736717,0
192,128,3136,RWS,64256,4779264,0,0.01550293,0
192,64,196,RWS,4096,157248,0,0.016322545,0
192,192,676,RWS,18816,1576896,0,0.015819542,0
192,16,676,RWS,9136,123840,0,0.014908469,0
224,128,784,IS,19040,1398656,0,0.015555246,0
224,128,3136,IS,70784,5594624,0,0.015555246,0
224,128,784,OS,19040,4910976,0,0.03361092,0
224,128,3136,OS,70784,78650880,0,0.051454175,0
224,128,784,WS,19040,1393952,0,0.01550293,0
224,128,3136,WS,70784,5575808,0,0.01550293,0
224,128,784,RIS,19040,1398656,0,0.015555246,0
224,128,3136,RIS,70784,5594624,0,0.015555246,0
224,128,784,ROS,19040,4910976,0,0.03361092,0
224,128,3136,ROS,70784,78650880,0,0.051454175,0
224,128,784,RWS,19040,1393952,0,0.01550293,0
224,128,3136,RWS,70784,5575808,0,0.01550293,0
232,232,196,IS,9512,696696,0,0.01651016,0
232,232,784,IS,26216,2626008,0,0.015557651,0
232,232,196,OS,8504,588120,0,0.016497032,0
232,232,784,OS,26216,8901144,0,0.033065878,0
232,232,196,WS,9512,696696,0,0.01651016,0
232,232,784,WS,26216,2626008,0,0.015557651,0
232,232,196,RIS,9512,696696,0,0.01651016,0
232,232,784,RIS,26216,2626008,0,0.015557651,0
232,232,196,ROS,8504,588120,0,0.016497032,0
232,232,784,ROS,26216,8901144,0,0.033065878,0
232,232,196,RWS,9512,696696,0,0.01651016,0
232,232,784,RWS,26216,2626008,0,0.015557651,0
256,48,1225,IS,24176,942480,0,0.015652902,0
256,64,676,IS,14784,701760,0,0.015840248,0
256,128,676,IS,18560,1403520,0,0.015840248,0
256,1024,196,IS,33024,3394560,0,0.016516861,0
256,256,676,IS,26112,2807040,0,0.015840248,0
256,32,676,IS,12896,350880,0,0.015840248,0
256,64,1225,IS,25664,1256640,0,0.015652902,0
256,512,3136,IS,158720,25589760,0,0.015563965,0
256,128,3136,IS,77312,6397440,0,0.015563965,0
256,128,196,IS,7040,424320,0,0.016516861,0
256,64,3136,IS,63744,3198720,0,0.015563965,0
256,128,784,IS,20864,1599360,0,0.015563965,0
256,48,1225,OS,24176,4523904,0,0.038603684,0
256,64,676,OS,14784,1857600,0,0.029734342,0
256,128,676,OS,18560,3715200,0,0.029734342,0
256,1024,196,OS,28404,41770752,0,0.26546068,0
256,256,676,OS,26112,7430400,0,0.029734342,0
256,32,676,OS,12896,928800,0,0.029734342,0
256,64,1225,OS,25664,6031872,0,0.038603684,0
256,512,3136,OS,158720,725637120,0,0.115761372,0
256,128,3136,OS,77312,78650880,0,0.050188909,0
256,128,196,OS,5780,324480,0,0.016497032,0
256,64,3136,OS,63744,39325440,0,0.050188909,0
256,128,784,OS,20864,4910976,0,0.031531894,0
256,48,1225,WS,24176,15978496,0,0.26537415,0
256,64,676,WS,14784,11768064,0,0.265630778,0
256,128,676,WS,18560,23547136,0,0.265755016,0
256,1024,196,WS,33024,54768384,0,0.26648572,0
256,256,676,WS,26112,47105280,0,0.265817134,0
256,32,676,WS,12896,5878528,0,0.265382304,0
256,64,1225,WS,25664,21311232,0,0.265455995,0
256,512,3136,WS,158720,436673536,0,0.2655895,0
256,128,3136,WS,77312,109130752,0,0.265497947,0
256,128,196,WS,7040,6843136,0,0.266372369,0
256,64,3136,WS,63744,54540288,0,0.265375877,0
256,128,784,WS,20864,27281152,0,0.265483,0
256,48,1225,RIS,24176,942480,0,0.015652902,0
256,64,676,RIS,14784,701760,0,0.015840248,0
256,128,676,RIS,18560,1403520,0,0.015840248,0
256,1024,196,RIS,33024,3394560,0,0.016516861,0
256,256,676,RIS,26112,2807040,0,0.015840248,0
256,32,676,RIS,12896,350880,0,0.015840248,0
256,64,1225,RIS,25664,1256640,0,0.015652902,0
256,512,3136,RIS,158720,25589760,0,0.015563965,0
256,128,3136,RIS,77312,6397440,0,0.015563965,0
256,128,196,RIS,7040,424320,0,0.016516861,0
256,64,3136,RIS,63744,3198720,0,0.015563965,0
256,128,784,RIS,20864,1599360,0,0.015563965,0
256,48,1225,ROS,24176,4523904,0,0.038603684,0
256,64,676,ROS,14784,1857600,0,0.029734342,0
256,128,676,ROS,18560,3715200,0,0.029734342,0
256,1024,196,ROS,28404,41770752,0,0.26546068,0
256,256,676,ROS,26112,7430400,0,0.029734342,0
256,32,676,ROS,12896,928800,0,0.029734342,0
256,64,1225,ROS,25664,6031872,0,0.038603684,0
256,512,3136,ROS,158720,725637120,0,0.115761372,0
256,128,3136,ROS,77312,78650880,0,0.050188909,0
256,128,196,ROS,5780,324480,0,0.016497032,0
256,64,3136,ROS,63744,39325440,0,0.050188909,0
256,128,784,ROS,20864,4910976,0,0.031531894,0
256,48,1225,RWS,24176,15978496,0,0.26537415,0
256,64,676,RWS,14784,11768064,0,0.265630778,0
256,128,676,RWS,18560,23547136,0,0.265755016,0
256,1024,196,RWS,33024,54768384,0,0.26648572,0
256,256,676,RWS,26112,47105280,0,0.265817134,0
256,32,676,RWS,12896,5878528,0,0.265382304,0
256,64,1225,RWS,25664,21311232,0,0.265455995,0
256,512,3136,RWS,158720,436673536,0,0.2655895,0
256,128,3136,RWS,77312,109130752,0,0.265497947,0
256,128,196,RWS,7040,6843136,0,0.266372369,0
256,64,3136,RWS,63744,54540288,0,0.265375877,0
256,128,784,RWS,20864,27281152,0,0.265483,0
288,32,21609,IS,432896,24469312,0,0.030717413,0
288,64,1225,IS,28256,1414336,0,0.015659722,0
288,288,21025,IS,762624,217385280,0,0.031163711,0
288,128,196,IS,7712,477568,0,0.016524058,0
288,64,21025,IS,464032,48013280,0,0.030973688,0
288,128,784,IS,22688,1800064,0,0.015570747,0
288,48,1225,IS,26736,1060752,0,0.015659722,0
288,32,21609,OS,432896,934157056,0,0.060113802,0
288,64,1225,OS,28256,6031872,0,0.036829652,0
288,288,21025,OS,762624,7962209280,0,0.06007298,0
288,128,196,OS,5780,324480,0,0.016497032,0
288,64,21025,OS,464032,1769379840,0,0.06007298,0
288,128,784,OS,22688,4910976,0,0.029695085,0
288,48,1225,OS,26736,4523904,0,0.036829652,0
288,32,21609,WS,432896,397907424,0,0.499510837,0
288,64,1225,WS,28256,45135072,0,0.499741709,0
288,288,21025,WS,762624,3487411296,0,0.499944965,0
288,128,196,WS,7712,14444640,0,0.499790737,0
288,64,21025,WS,464032,774685728,0,0.499754942,0
288,128,784,WS,22688,57786336,0,0.499858,0
288,48,1225,WS,26736,33845760,0,0.499659864,0
288,32,21609,RIS,432896,24469312,0,0.030717413,0
288,64,1225,RIS,28256,1414336,0,0.015659722,0
288,288,21025,RIS,762624,217385280,0,0.031163711,0
288,128,196,RIS,7712,477568,0,0.016524058,0
288,64,21025,RIS,464032,48013280,0,0.030973688,0
288,128,784,RIS,22688,1800064,0,0.015570747,0
288,48,1225,RIS,26736,1060752,0,0.015659722,0
288,32,21609,ROS,432896,934157056,0,0.060113802,0
288,64,1225,ROS,28256,6031872,0,0.036829652,0
288,288,21025,ROS,762624,7962209280,0,0.06007298,0
288,128,196,ROS,5780,324480,0,0.016497032,0
288,64,21025,ROS,464032,1769379840,0,0.06007298,0
288,128,784,ROS,22688,4910976,0,0.029695085,0
288,48,1225,ROS,26736,4523904,0,0.036829652,0
288,32,21609,RWS,432896,397907424,0,0.499510837,0
288,64,1225,RWS,28256,45135072,0,0.499741709,0
288,288,21025,RWS,762624,3487411296,0,0.499944965,0
288,128,196,RWS,7712,14444640,0,0.499790737,0
288,64,21025,RWS,464032,774685728,0,0.499754942,0
288,128,784,RWS,22688,57786336,0,0.499858,0
288,48,1225,RWS,26736,33845760,0,0.499659864,0
320,1280,49,IS,32000,1633280,0,0.020344388,0
320,128,196,IS,8384,530816,0,0.016529815,0
320,128,784,IS,24512,2000768,0,0.015576172,0
320,1280,49,OS,9236,3256320,0,0.264889629,0
320,128,196,OS,5780,324480,0,0.016497032,0
320,128,784,OS,24512,4910976,0,0.028060493,0
