DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency,total_energy,edp
AMM,S_Tree,RIS,1,1.31E-07,1.75E-05,0.26436,0.01282512,0.007220388,0.973666648,0.006351127,0.000670754,1.265111649,53.81308453,68.07956013
AMM,S_Tree,RIS,2,6.73E-08,9.71E-06,0.136256,0.012973461,0.007220388,0.48849763,0.006351127,0.000336914,0.651645298,27.17332913,17.70737217
AMM,S_Tree,RIS,4,3.78E-08,6.27E-06,0.076536,0.013921007,0.007220388,0.244248815,0.006351127,0.000176691,0.348460332,13.9394593,4.857348618
AMM,S_Tree,RIS,8,2.36E-08,4.80E-06,0.047796,0.015986705,0.007220388,0.124290091,0.006351127,9.34E-05,0.201742581,7.407515301,1.494411254
AMM,S_Tree,RIS,40,1.98E-08,4.89E-06,0.0401,0.0601053,0.007220388,0.026556491,0.006351127,3.14E-05,0.140369637,2.659276331,0.373281653
AMM,S_Tree,RWS,1,1.29E-07,6.54E-05,0.067688,0.070684875,3.074323391,0.011365705,0.035290417,0.000645849,3.260063722,54.13995709,176.49971
AMM,S_Tree,RWS,2,6.67E-08,3.38E-05,0.038156,0.070810917,1.537891286,0.011365705,0.035290417,0.000326052,1.693874205,27.32656932,46.28777087
AMM,S_Tree,RWS,4,3.77E-08,1.91E-05,0.0253,0.071718617,0.768946087,0.011365705,0.035290417,0.000172553,0.912812496,14.0353455,12.81163875
AMM,S_Tree,RWS,8,2.35E-08,1.19E-05,0.019492,0.07363796,0.385797371,0.011365705,0.035290417,9.21E-05,0.525687509,7.449451959,3.916083844
AMM,S_Tree,RWS,40,2.01E-08,1.02E-05,0.020904,0.207284166,0.080347209,0.011365705,0.035290417,3.15E-05,0.355233203,2.709068035,0.962350916
AMM,S_Tree,ROS,1,1.29E-07,6.54E-05,0.261424,0.020127118,1.272554492,0.020134081,0.009977494,0.00267157,1.58695424,54.21252449,86.03279563
AMM,S_Tree,ROS,2,6.67E-08,3.38E-05,0.135044,0.020334176,0.637486121,0.020134081,0.009977494,0.001336416,0.824346115,27.52251398,22.68807748
AMM,S_Tree,ROS,4,3.77E-08,1.91E-05,0.076316,0.021604576,0.318743504,0.020134081,0.009977494,0.000665418,0.44746019,14.2929599,6.39553055
AMM,S_Tree,ROS,8,2.35E-08,1.19E-05,0.047652,0.024306137,0.161425378,0.020134081,0.009977494,0.000332215,0.263839242,7.738091163,2.041612109
AMM,S_Tree,ROS,40,2.01E-08,1.02E-05,0.04072,0.081657459,0.034501519,0.020134081,0.009977494,6.20E-05,0.1870628,3.011042568,0.563254055
AMM,ST_Tree_Ac,RIS,1,1.31E-07,1.75E-05,0.26436,0,0.007220388,0.973666648,0.006351127,0.000105466,1.251721242,53.81191951,67.3575227
AMM,ST_Tree_Ac,RIS,2,6.73E-08,9.71E-06,0.136256,0.012973461,0.007220388,0.48849763,0.006351127,5.28E-05,0.651361208,27.17324508,17.69959774
AMM,ST_Tree_Ac,RIS,4,3.78E-08,6.27E-06,0.076536,0.013921007,0.007220388,0.244248815,0.006351127,2.70E-05,0.34831068,13.93941479,4.855247047
AMM,ST_Tree_Ac,RIS,8,2.36E-08,4.80E-06,0.047796,0.015986705,0.007220388,0.124290091,0.006351127,1.39E-05,0.201663018,7.407491486,1.493817088
AMM,ST_Tree_Ac,RIS,40,1.98E-08,4.89E-06,0.0401,0.0601053,0.007220388,0.026556491,0.006351127,3.71E-06,0.140341924,2.659267696,0.373206745
AMM,ST_Tree_Ac,RWS,1,1.29E-07,6.54E-05,0.067688,0,3.074323391,0.011365705,0.035290417,0.000101327,3.188834325,54.13037213,172.6127887
AMM,ST_Tree_Ac,RWS,2,6.67E-08,3.38E-05,0.038156,0.070810917,1.537891286,0.011365705,0.035290417,5.09E-05,1.693599016,27.32648781,46.28011286
AMM,ST_Tree_Ac,RWS,4,3.77E-08,1.91E-05,0.0253,0.071718617,0.768946087,0.011365705,0.035290417,2.61E-05,0.912666088,14.03530186,12.80954405
AMM,ST_Tree_Ac,RWS,8,2.35E-08,1.19E-05,0.019492,0.07363796,0.385797371,0.011365705,0.035290417,1.35E-05,0.525608872,7.449428351,3.915485633
AMM,ST_Tree_Ac,RWS,40,2.01E-08,1.02E-05,0.020904,0.207284166,0.080347209,0.011365705,0.035290417,3.64E-06,0.355205335,2.709059323,0.962272325
AMM,ST_Tree_Ac,ROS,1,1.29E-07,6.54E-05,0.261424,0,1.272554492,0.020134081,0.009977494,0.000424344,1.564579896,54.20980036,84.81556381
AMM,ST_Tree_Ac,ROS,2,6.67E-08,3.38E-05,0.135044,0,0.637486121,0.020134081,0.009977494,0.000212746,0.80288827,27.5201003,22.09556571
AMM,ST_Tree_Ac,ROS,4,3.77E-08,1.91E-05,0.076316,0,0.318743504,0.020134081,0.009977494,0.000111509,0.425301705,14.29059576,6.077814738
AMM,ST_Tree_Ac,ROS,8,2.35E-08,1.19E-05,0.047652,0,0.161425378,0.020134081,0.009977494,5.92E-05,0.239260097,7.735553211,1.850809209
AMM,ST_Tree_Ac,ROS,40,2.01E-08,1.02E-05,0.04072,0,0.034501519,0.020134081,0.009977494,2.36E-05,0.105366875,3.003212718,0.316439138
AMM,STIFT,RIS,1,1.31E-07,1.75E-05,0.26436,0,0.007220388,0.973666648,0.006351127,0.000105466,1.251721242,53.81190632,67.3575062
AMM,STIFT,RIS,2,6.73E-08,9.71E-06,0.136256,0.012973461,0.007220388,0.48849763,0.006351127,5.28E-05,0.651361208,27.17323848,17.69959344
AMM,STIFT,RIS,4,3.78E-08,6.27E-06,0.076536,0.013921007,0.007220388,0.244248815,0.006351127,2.70E-05,0.34831068,13.93941141,4.85524587
AMM,STIFT,RIS,8,2.36E-08,4.80E-06,0.047796,0.015986705,0.007220388,0.124290091,0.006351127,1.39E-05,0.201663018,7.407489751,1.493816738
AMM,STIFT,RIS,40,1.98E-08,4.89E-06,0.0401,0.0601053,0.007220388,0.026556491,0.006351127,3.71E-06,0.140341924,2.659267232,0.37320668
AMM,STIFT,RWS,1,1.29E-07,6.54E-05,0.067688,0,3.074323391,0.011365705,0.035290417,0.000101327,3.188834325,54.13035947,172.6127483
AMM,STIFT,RWS,2,6.67E-08,3.38E-05,0.038156,0.070810917,1.537891286,0.011365705,0.035290417,5.09E-05,1.693599016,27.32648145,46.28010209
AMM,STIFT,RWS,4,3.77E-08,1.91E-05,0.0253,0.071718617,0.768946087,0.011365705,0.035290417,2.61E-05,0.912666088,14.03529859,12.80954106
AMM,STIFT,RWS,8,2.35E-08,1.19E-05,0.019492,0.07363796,0.385797371,0.011365705,0.035290417,1.35E-05,0.525608872,7.449426665,3.915484747
AMM,STIFT,RWS,40,2.01E-08,1.02E-05,0.020904,0.207284166,0.080347209,0.011365705,0.035290417,3.64E-06,0.355205335,2.709058869,0.962272163
AMM,STIFT,ROS,1,1.29E-07,6.54E-05,0.261424,0,1.272554492,0.020134081,0.009977494,0.000424344,1.564579896,54.20974731,84.81548082
AMM,STIFT,ROS,2,6.67E-08,3.38E-05,0.135044,0,0.637486121,0.020134081,0.009977494,0.000212746,0.80288827,27.52007371,22.09554436
AMM,STIFT,ROS,4,3.77E-08,1.91E-05,0.076316,0,0.318743504,0.020134081,0.009977494,0.000111509,0.425301705,14.29058183,6.07780881
AMM,STIFT,ROS,8,2.35E-08,1.19E-05,0.047652,0,0.161425378,0.020134081,0.009977494,5.92E-05,0.239260097,7.73554581,1.850807439
AMM,STIFT,ROS,40,2.01E-08,1.02E-05,0.04072,0,0.034501519,0.020134081,0.009977494,2.36E-05,0.105366875,3.003209771,0.316438827
AMM,PCA,RIS,1,1.31E-07,1.75E-05,0.26436,0,0.007220388,0.973666648,0.006351127,1.25E-08,1.251615788,42.76430053,53.52447371
AMM,PCA,RIS,2,6.73E-08,9.71E-06,0.136256,0,0.007220388,0.48849763,0.006351127,6.26E-09,0.63833493,21.59374761,13.78404338
AMM,PCA,RIS,4,3.78E-08,6.27E-06,0.076536,0,0.007220388,0.244248815,0.006351127,3.13E-09,0.334362637,10.94592213,3.659907384
AMM,PCA,RIS,8,2.36E-08,4.80E-06,0.047796,0,0.007220388,0.124290091,0.006351127,1.57E-09,0.185662434,5.70722512,1.059617307
AMM,PCA,RIS,40,1.98E-08,4.89E-06,0.0401,0,0.007220388,0.026556491,0.006351127,3.25E-10,0.080232917,1.451029962,0.116420367
AMM,PCA,RWS,1,1.29E-07,6.54E-05,0.067688,0,3.074323391,0.011365705,0.035290417,1.20E-08,3.18873301,43.08276036,137.3794201
AMM,PCA,RWS,2,6.67E-08,3.38E-05,0.038156,0,1.537891286,0.011365705,0.035290417,6.00E-09,1.622737241,21.73856992,35.27598699
AMM,PCA,RWS,4,3.77E-08,1.91E-05,0.0253,0,0.768946087,0.011365705,0.035290417,3.00E-09,0.840921328,11.03339314,9.278215617
AMM,PCA,RWS,8,2.35E-08,1.19E-05,0.019492,0,0.385797371,0.011365705,0.035290417,1.51E-09,0.451957431,5.740763709,2.594580819
AMM,PCA,RWS,40,2.01E-08,1.02E-05,0.020904,0,0.080347209,0.011365705,0.035290417,3.12E-10,0.147917532,1.479363054,0.218823732
AMM,PCA,ROS,1,1.29E-07,6.54E-06,0.261424,0,1.272554492,0.020134081,0.009977494,5.04E-08,1.564096782,43.16278416,67.51077181
AMM,PCA,ROS,2,6.67E-08,3.38E-06,0.135044,0,0.637486121,0.020134081,0.009977494,2.52E-08,0.802645164,21.94171149,17.61140861
AMM,PCA,ROS,4,3.77E-08,1.91E-06,0.076316,0,0.318743504,0.020134081,0.009977494,1.26E-08,0.425173037,11.2981825,4.80368257
AMM,PCA,ROS,8,2.35E-08,1.19E-06,0.047652,0,0.161425378,0.020134081,0.009977494,6.32E-09,0.239190175,6.036515105,1.443875102
AMM,PCA,ROS,40,2.01E-08,1.02E-06,0.04072,0,0.034501519,0.020134081,0.009977494,1.31E-09,0.105334134,1.79962211,0.189561636
AMM,S_Tree,WS,1,1.98E-08,1.00E-05,0.016136,0.198913187,0.037069149,0.011365705,0.035290417,0.035603622,0.334388125,2.20884597,0.738611863
AMM,S_Tree,OS,1,1.98E-08,1.00E-05,0.0401,0.075923496,0.019537259,0.034895131,0.009977494,0.035603622,0.216047048,3.0155776,0.651506637
AMM,S_Tree,IS,1,1.98E-08,4.89E-06,0.0401,0.055434763,0.007220388,0.026556491,0.006351127,0.035603622,0.171271302,2.67142061,0.457537687
AMM,ST_Tree_Ac,WS,1,1.98E-08,1.00E-05,0.016136,0.198913187,0.037069149,0.011365705,0.035290417,0.01129625,0.310080752,2.203701242,0.683325339
AMM,ST_Tree_Ac,OS,1,1.98E-08,1.00E-05,0.0401,0.075923496,0.019537259,0.034895131,0.009977494,0.01129625,0.191739675,3.010432872,0.57721942
AMM,ST_Tree_Ac,IS,1,1.98E-08,4.89E-06,0.0401,0.055434763,0.007220388,0.026556491,0.006351127,0.01129625,0.14696393,2.666275882,0.391846381
AMM,STIFT,WS,1,1.98E-08,1.00E-05,0.016136,0.198913187,0.037069149,0.011365705,0.035290417,0.01129625,0.310080752,2.202289211,0.682887496
AMM,STIFT,OS,1,1.98E-08,1.00E-05,0.0401,0.075923496,0.019537259,0.034895131,0.009977494,0.01129625,0.191739675,3.009020841,0.576948678
AMM,STIFT,IS,1,1.98E-08,4.89E-06,0.0401,0.055434763,0.007220388,0.026556491,0.006351127,0.01129625,0.14696393,2.664863851,0.391638864
AMM,PCA,WS,1,1.98E-08,1.00E-05,0.016136,0,0.037069149,0.011365705,0.035290417,0,0.099871316,1.241394302,0.123979682
AMM,PCA,OS,1,1.98E-08,1.00E-06,0.0401,0,0.019537259,0.034895131,0.009977494,0,0.104510907,2.06603666,0.215923365
AMM,PCA,IS,1,1.98E-08,4.89E-06,0.0401,0,0.007220388,0.026556491,0.006351127,0,0.080232917,1.7248634,0.138390822
