reduction_network,dataflow,psum_access_energy,input_actuation_energy,weight_actuation_energy,input_access_energy,weight_access_energy,output_access_energy,psum_reduction_energy,dac_energy,adc_energy,total_energy
S_Tree,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.00970826345868384,0.0009069533395238354,0.03168687048731002,7.409405915798407,6.215711712880732,13.69346663974575
S_Tree,WS,0.17730707688137023,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.0045606520454378125,0.011551108000138274,0.03168687048730973,3.060844328499594,6.215711712853925,9.529330474906025
S_Tree,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211204,0.0029688898465194445,0.03168687048730881,8.581472467400395,6.215711712880732,15.024177623763798
ST_Tree_Ac,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.00970826345868384,0.0009069533395238354,0.03168687048731002,7.409405915798407,6.215711712880732,13.69346663974575
ST_Tree_Ac,WS,0.17730707688137023,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.0045606520454378125,0.011551108000138274,0.03168687048730973,3.060844328499594,6.215711712853925,9.529330474906025
ST_Tree_Ac,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211204,0.0029688898465194445,0.03168687048730881,8.581472467400395,6.215711712880732,15.024177623763798
STIFT,IS,0.023795270513533733,4.278079999998967e-11,0.00029334249999996877,0.0019583107247802614,0.00970826345868384,0.0009069533395238354,0.03168687048731002,7.409405915798407,6.215711712880732,13.69346663974575
STIFT,WS,0.17730707688137023,8.533600000008617e-11,3.5051499999995116e-05,0.02763367455291509,0.0045606520454378125,0.011551108000138274,0.03168687048730973,3.060844328499594,6.215711712853925,9.529330474906025
STIFT,OS,0.11866956133128499,8.533600000008617e-11,0.00029334249999996877,0.018450053672008422,0.054924725560211204,0.0029688898465194445,0.03168687048730881,8.581472467400395,6.215711712880732,15.024177623763798
PCA,IS,0.0,4.278079999999973e-12,0.00029334249999996877,0.0019583107247802614,0.00970826345868384,0.0009069533395238354,0.03168687048731002,7.409405915798407,0.4763713689000115,7.930331025212995
PCA,WS,0.0,8.53360000000726e-12,3.5051499999995116e-05,0.02763367455291509,0.0045606520454378125,0.011551108000138274,0.03168687048730973,3.060844328499594,0.47637136889999926,3.612683053993928
PCA,OS,0.0,8.53360000000726e-12,0.00029334249999996877,0.018450053672008422,0.054924725560211204,0.0029688898465194445,0.03168687048730881,8.581472467400395,0.47637136890003345,9.16616771837501
S_Tree,IS,0.017231880070839395,2.353599999999558e-11,0.0002846580000000032,0.0019583107247808347,0.007367767968455029,0.0009069533395238583,0.025401683837701746,5.855065054996483,4.528811956993115,10.437028265954433
S_Tree,WS,0.13164642926202905,8.280960000007674e-11,4.303749999999295e-05,0.05187755555332932,0.004560652045437803,0.011551108000138276,0.025401683837701715,4.900976490897102,4.528811956993789,9.654868914172337
S_Tree,OS,0.08523755849454673,8.280960000007674e-11,0.0002846580000000032,0.03533665170465784,0.04069406548129469,0.002968889846519604,0.025401683837702135,8.86726376898858,4.528811956993115,13.585999233429225
ST_Tree_Ac,IS,0.017231880070839395,2.353599999999558e-11,0.0002846580000000032,0.0019583107247808347,0.007367767968455029,0.0009069533395238583,0.025401683837701746,5.855065054996483,4.528811956993115,10.437028265954433
ST_Tree_Ac,WS,0.13164642926202905,8.280960000007674e-11,4.303749999999295e-05,0.05187755555332932,0.004560652045437803,0.011551108000138276,0.025401683837701715,4.900976490897102,4.528811956993789,9.654868914172337
ST_Tree_Ac,OS,0.08523755849454673,8.280960000007674e-11,0.0002846580000000032,0.03533665170465784,0.04069406548129469,0.002968889846519604,0.025401683837702135,8.86726376898858,4.528811956993115,13.585999233429225
STIFT,IS,0.017231880070839395,2.353599999999558e-11,0.0002846580000000032,0.0019583107247808347,0.007367767968455029,0.0009069533395238583,0.025401683837701746,5.855065054996483,4.528811956993115,10.437028265954433
STIFT,WS,0.13164642926202905,8.280960000007674e-11,4.303749999999295e-05,0.05187755555332932,0.004560652045437803,0.011551108000138276,0.025401683837701715,4.900976490897102,4.528811956993789,9.654868914172337
STIFT,OS,0.08523755849454673,8.280960000007674e-11,0.0002846580000000032,0.03533665170465784,0.04069406548129469,0.002968889846519604,0.025401683837702135,8.86726376898858,4.528811956993115,13.585999233429225
PCA,IS,0.0,2.35359999999992e-12,0.0002846580000000032,0.0019583107247808347,0.007367767968455029,0.0009069533395238583,0.025401683837701746,5.855065054996483,0.47637136890000886,6.3673557977693065
PCA,WS,0.0,8.280960000006827e-12,4.303749999999295e-05,0.05187755555332932,0.004560652045437803,0.011551108000138276,0.025401683837701715,4.900976490897102,0.47637136889999837,5.470781896741988
PCA,OS,0.0,8.280960000006827e-12,0.0002846580000000032,0.03533665170465784,0.04069406548129469,0.002968889846519604,0.025401683837702135,8.86726376898858,0.4763713689000408,9.448321086767077
S_Tree,RIS,0.0019785647452462093,1.059776000001632e-10,0.0008544030000013513,0.00195831072478201,0.28846554944515196,0.0011144835346476247,0.000638863801197297,186.80958773349408,18.491164014784733,205.59576192363582
S_Tree,RWS,0.023923540499989942,2.1566239999977082e-10,0.00014174050000006558,2.3916000456206903,0.004560652045437383,0.01170343338503703,0.00017686969449233917,186.34807636653915,18.491164014784733,207.2713466632852
S_Tree,ROS,0.007886275481831155,2.1566239999977082e-10,0.0007413395000006855,1.653809512236888,0.018168170251655385,0.002968889846522081,0.00124336019060825,187.83832728788747,18.491164014784733,208.0143088503954
ST_Tree_Ac,RIS,0.0,1.059776000001632e-10,0.0008544030000013513,0.00195831072478201,0.28846554944515196,0.0011144835346476247,0.000638863801197297,186.80958773349408,18.491164014784733,205.59378335889056
ST_Tree_Ac,RWS,0.0,2.1566239999977082e-10,0.00014174050000006558,2.3916000456206903,0.004560652045437383,0.01170343338503703,0.00017686969449233917,186.34807636653915,18.491164014784733,207.2474231227852
ST_Tree_Ac,ROS,0.0,2.1566239999977082e-10,0.0007413395000006855,1.653809512236888,0.018168170251655385,0.002968889846522081,0.00124336019060825,187.83832728788747,18.491164014784733,208.00642257491356
STIFT,RIS,0.0,1.059776000001632e-10,0.0008544030000013513,0.00195831072478201,0.28846554944515196,0.0011144835346476247,0.000638863801197297,186.80958773349408,18.491164014784733,205.59378335889056
STIFT,RWS,0.0,2.1566239999977082e-10,0.00014174050000006558,2.3916000456206903,0.004560652045437383,0.01170343338503703,0.00017686969449233917,186.34807636653915,18.491164014784733,207.2474231227852
STIFT,ROS,0.0,2.1566239999977082e-10,0.0007413395000006855,1.653809512236888,0.018168170251655385,0.002968889846522081,0.00124336019060825,187.83832728788747,18.491164014784733,208.00642257491356
PCA,RIS,0.0,1.0597760000010794e-11,0.0008544030000013513,0.00195831072478201,0.28846554944515196,0.0011144835346476247,4.633979324491407e-19,186.80958773349408,6610.661651972138,6797.763632452347
PCA,RWS,0.0,2.1566239999958748e-11,0.00014174050000006558,2.3916000456206903,0.004560652045437383,0.01170343338503703,1.2872269157762785e-19,186.34807636653915,2914.8946836860323,3103.6507659241443
PCA,ROS,0.0,2.1566239999958748e-11,0.0007413395000006855,1.653809512236888,0.018168170251655385,0.002968889846522081,9.834830689016327e-19,187.83832728788747,21510.789922181713,21700.303937381457
S_Tree,RIS,0.0017232418121541895,9.216960000011167e-11,0.0013502224999969053,0.0019583107247821375,0.2884655494439646,0.0009069533395238511,0.0007630737690709722,186.8095877335689,23.564539119105934,210.6692942043565
S_Tree,RWS,0.022772352789434742,3.566847999991579e-10,0.00010780000000003299,2.3916000456135333,0.004560652045437486,0.011551108000138269,0.00021093861406685496,186.34807636655393,23.564539119105934,212.34341838307915
S_Tree,ROS,0.006626368204988777,3.566847999991579e-10,0.001226103999998621,1.6538095122352325,0.034439516152595454,0.002968889846502312,0.002955090612542515,189.4953730990593,23.564539119105934,214.7619376995738
ST_Tree_Ac,RIS,0.0,9.216960000011167e-11,0.0013502224999969053,0.0019583107247821375,0.2884655494439646,0.0009069533395238511,0.0007630737690709722,186.8095877335689,23.564539119105934,210.66757096254435
ST_Tree_Ac,RWS,0.0,3.566847999991579e-10,0.00010780000000003299,2.3916000456135333,0.004560652045437486,0.011551108000138269,0.00021093861406685496,186.34807636655393,23.564539119105934,212.32064603028974
ST_Tree_Ac,ROS,0.0,3.566847999991579e-10,0.001226103999998621,1.6538095122352325,0.034439516152595454,0.002968889846502312,0.002955090612542515,189.4953730990593,23.564539119105934,214.7553113313688
STIFT,RIS,0.0,9.216960000011167e-11,0.0013502224999969053,0.0019583107247821375,0.2884655494439646,0.0009069533395238511,0.0007630737690709722,186.8095877335689,23.564539119105934,210.66757096254435
STIFT,RWS,0.0,3.566847999991579e-10,0.00010780000000003299,2.3916000456135333,0.004560652045437486,0.011551108000138269,0.00021093861406685496,186.34807636655393,23.564539119105934,212.32064603028974
STIFT,ROS,0.0,3.566847999991579e-10,0.001226103999998621,1.6538095122352325,0.034439516152595454,0.002968889846502312,0.002955090612542515,189.4953730990593,23.564539119105934,214.7553113313688
PCA,RIS,0.0,9.21696000000843e-12,0.0013502224999969053,0.0019583107247821375,0.2884655494439646,0.0009069533395238511,6.577260976701453e-19,186.8095877335689,9136.930363235002,9324.032632004588
PCA,RWS,0.0,3.566847999997307e-11,0.00010780000000003299,2.3916000456135333,0.004560652045437486,0.011551108000138269,1.827031751423825e-19,186.34807636655393,3933.161672252891,4121.91756822514
PCA,ROS,0.0,3.566847999997307e-11,0.001226103999998621,1.6538095122352325,0.034439516152595454,0.002968889846502312,2.6449830941936425e-18,189.4953730990593,55630.82300451406,55822.01082163539
